rowNo,fileName,position,cardName,cardReadShort,cardReadMain,cardReadPast,cardReadPresent,cardReadFuture,cardReadHidden,cardReadCons,cardReadUncons,cardReadOutcome
0,000_fool.jpg,upright,The Fool,"Beginnings, Innocence, Spontaneity","The Fool card advises you to embrace new beginnings with an open mind and heart. This is a time of spontaneity and taking leaps of faith, trusting that the journey ahead will bring growth and adventure.","The Fool card signifies a time of new beginnings and innocence. You embarked on a journey with spontaneity and an open heart, shaping your current path.",The Fool card suggests that new beginnings and spontaneity are guiding your present choices. Embrace this time of adventure and open-mindedness.,"Looking ahead, The Fool card suggests a future filled with new beginnings and adventures. Embrace spontaneity and trust in the journey ahead.",The Fool card reveals underlying factors of a desire for new beginnings and adventure influencing your situation. An open mind and heart are guiding your decisions and actions.,"You are focused on new beginnings and taking leaps of faith. Your decisions are influenced by a desire for spontaneity and adventure, and you are keenly aware of the potential for growth.","Your actions and decisions are influenced by a deep-seated need for new experiences and adventure. Even if you are not fully aware of it, your drive for spontaneity and growth is significant.","By embracing new beginnings and spontaneity, you can achieve a balanced and fulfilling resolution to your situation. Trust in the journey ahead and the growth it will bring."
1,000_fool.jpg,inverted,The Fool,"Recklessness, Naivety, Hesitation",The inverted Fool card warns against recklessness and naivety. This is a time to be cautious and think carefully before taking any leaps of faith. Avoid impulsive decisions that may lead to unwanted consequences.,"The inverted Fool card indicates a past marked by recklessness and naivety. These impulsive actions may still be impacting your present situation, urging you to reflect and learn from these experiences.",The inverted Fool card suggests that recklessness and hesitation are affecting your present choices. It’s important to think carefully and avoid impulsive decisions.,"Looking ahead, the inverted Fool card warns that recklessness and naivety may lead to unwanted consequences if not addressed. Caution and careful consideration are essential for a positive outcome.",The inverted Fool card indicates hidden feelings of recklessness and naivety impacting your situation. Unresolved issues of impulsiveness are affecting your ability to make wise decisions.,You are aware of feelings of recklessness and hesitation. These challenges and the resulting confusion are weighing heavily on your mind.,"Unresolved feelings of impulsiveness and naivety are influencing your actions. These underlying issues are affecting your ability to make wise decisions, even if you are not fully aware of their impact.","If feelings of recklessness and naivety are not addressed, continued impulsiveness and hesitation may be the outcome. Unresolved issues may persist, leading to further challenges. Open communication and a willingness to confront these feelings are essential for finding a resolution."
2,001_magician.jpg,upright,The Magician,"Manifestation, Skill, Willpower",The Magician card advises you to use your skills and willpower to manifest your desires. This is a time to take action and harness your abilities to achieve your goals.,The Magician card signifies a period of skillful manifestation and willpower. You utilized your abilities to shape your current path and achieve your goals.,The Magician card suggests that manifestation and skillful action are guiding your present choices. Use your abilities to achieve your goals and take control of your destiny.,"Looking ahead, The Magician card suggests a future filled with opportunities for manifestation and skillful action. Harness your abilities and take control of your destiny.",The Magician card reveals underlying factors of skill and willpower influencing your situation. Your abilities and determination are guiding your decisions and actions.,You are focused on using your skills and willpower to manifest your desires. Your decisions are influenced by a desire to achieve your goals and take control of your destiny.,"Your actions and decisions are influenced by a deep-seated need for manifestation and control. Even if you are not fully aware of it, your drive to harness your abilities is significant.","By using your skills and willpower, you can achieve a balanced and fulfilling resolution to your situation. Take action and harness your abilities to achieve your goals."
3,001_magician.jpg,inverted,The Magician,"Manipulation, Deception, Lack of Willpower","The inverted Magician card warns against manipulation and deception. This is a time to be cautious of those who may be using their skills for ill purposes, and to ensure that you are not falling into these negative patterns yourself.","The inverted Magician card indicates a past marked by manipulation and deception. These actions may still be impacting your present situation, urging you to reflect and learn from these experiences.",The inverted Magician card suggests that manipulation and a lack of willpower are affecting your present choices. It’s important to be cautious and avoid deceptive actions.,"Looking ahead, the inverted Magician card warns that manipulation and deception may lead to negative consequences if not addressed. Integrity and honesty are essential for a positive outcome.",The inverted Magician card indicates hidden feelings of manipulation and deception impacting your situation. Unresolved issues of dishonesty are affecting your ability to make wise decisions.,You are aware of feelings of manipulation and lack of willpower. These challenges and the resulting confusion are weighing heavily on your mind.,"Unresolved feelings of deception and lack of willpower are influencing your actions. These underlying issues are affecting your ability to make wise decisions, even if you are not fully aware of their impact.","If feelings of manipulation and deception are not addressed, continued dishonesty and lack of willpower may be the outcome. Unresolved issues may persist, leading to further challenges. Open communication and a willingness to confront these feelings are essential for finding a resolution."
4,002_highpriestess.jpg,upright,The High Priestess,"Intuition, Wisdom, Secrets",The High Priestess card advises you to trust your intuition and inner wisdom. This is a time to listen to your inner voice and pay attention to the subtle signs around you. Secrets and hidden knowledge may be revealed.,The High Priestess card signifies a period of heightened intuition and wisdom. You have been guided by your inner voice and have gained insight through subtle signs and hidden knowledge.,The High Priestess card suggests that intuition and inner wisdom are guiding your present choices. Trust in your inner voice and pay attention to the signs around you.,"Looking ahead, The High Priestess card suggests a future filled with intuition and hidden knowledge. Trust in your inner wisdom and be open to the subtle signs around you.",The High Priestess card reveals underlying factors of intuition and hidden knowledge influencing your situation. Your inner wisdom and subtle signs are guiding your decisions and actions.,You are focused on trusting your intuition and inner wisdom. Your decisions are influenced by a desire to understand the hidden knowledge and subtle signs around you.,"Your actions and decisions are influenced by a deep-seated need for intuition and wisdom. Even if you are not fully aware of it, your inner voice is significant in guiding your path.","By trusting your intuition and inner wisdom, you can achieve a balanced and insightful resolution to your situation. Pay attention to the subtle signs and hidden knowledge around you."
5,002_highpriestess.jpg,inverted,The High Priestess,"Secrets, Hidden Agendas, Withdrawal","The inverted High Priestess card warns against hidden agendas and secrets. This is a time to be cautious of those who may be hiding their true intentions, and to ensure that you are not withdrawing from situations due to fear or mistrust.","The inverted High Priestess card indicates a past marked by hidden agendas and secrets. These actions may still be impacting your present situation, urging you to reflect and learn from these experiences.",The inverted High Priestess card suggests that secrets and hidden agendas are affecting your present choices. It’s important to be cautious and avoid withdrawing due to fear or mistrust.,"Looking ahead, the inverted High Priestess card warns that hidden agendas and secrets may lead to negative consequences if not addressed. Transparency and honesty are essential for a positive outcome.",The inverted High Priestess card indicates hidden feelings of secrecy and withdrawal impacting your situation. Unresolved issues of mistrust are affecting your ability to make wise decisions.,You are aware of feelings of secrecy and withdrawal. These challenges and the resulting confusion are weighing heavily on your mind.,"Unresolved feelings of hidden agendas and mistrust are influencing your actions. These underlying issues are affecting your ability to make wise decisions, even if you are not fully aware of their impact.","If feelings of secrecy and hidden agendas are not addressed, continued mistrust and withdrawal may be the outcome. Unresolved issues may persist, leading to further challenges. Open communication and a willingness to confront these feelings are essential for finding a resolution."
6,003_empress.jpg,upright,The Empress,"Abundance, Nurturing, Fertility","The Empress card advises you to embrace abundance and nurturing. This is a time to focus on growth, creativity, and the nurturing aspects of life. Fertility and new beginnings are on the horizon.","The Empress card signifies a period of abundance and nurturing. You have been focusing on growth and creativity, embracing the nurturing aspects of life.","The Empress card suggests that abundance and nurturing are guiding your present choices. Focus on growth and creativity, and embrace the fertility of new beginnings.","Looking ahead, The Empress card suggests a future filled with abundance and nurturing. Embrace growth and creativity, and be open to the fertile possibilities ahead.",The Empress card reveals underlying factors of abundance and nurturing influencing your situation. Your focus on growth and creativity is guiding your decisions and actions.,"You are focused on embracing abundance and nurturing. Your decisions are influenced by a desire for growth and creativity, and you are keenly aware of the fertile possibilities ahead.","Your actions and decisions are influenced by a deep-seated need for nurturing and abundance. Even if you are not fully aware of it, your drive for growth and creativity is significant.","By embracing abundance and nurturing, you can achieve a balanced and fulfilling resolution to your situation. Focus on growth and creativity, and be open to the fertile possibilities ahead."
7,003_empress.jpg,inverted,The Empress,"Neglect, Dependency, Smothering","The inverted Empress card warns against neglect and dependency. This is a time to be cautious of those who may be overly dependent on you, and to ensure that you are not neglecting your own needs or smothering others.","The inverted Empress card indicates a past marked by neglect and dependency. These actions may still be impacting your present situation, urging you to reflect and learn from these experiences.",The inverted Empress card suggests that neglect and dependency are affecting your present choices. It’s important to be cautious and avoid smothering others or neglecting your own needs.,"Looking ahead, the inverted Empress card warns that neglect and dependency may lead to negative consequences if not addressed. Balance and independence are essential for a positive outcome.",The inverted Empress card indicates hidden feelings of neglect and dependency impacting your situation. Unresolved issues of smothering are affecting your ability to make wise decisions.,You are aware of feelings of neglect and dependency. These challenges and the resulting confusion are weighing heavily on your mind.,"Unresolved feelings of neglect and smothering are influencing your actions. These underlying issues are affecting your ability to make wise decisions, even if you are not fully aware of their impact.","If feelings of neglect and dependency are not addressed, continued smothering and neglect may be the outcome. Unresolved issues may persist, leading to further challenges. Open communication and a willingness to confront these feelings are essential for finding a resolution."
8,004_emperor.jpg,upright,The Emperor,"Authority, Structure, Control","The Emperor card advises you to embrace authority and structure. This is a time to focus on control and order, and to establish a solid foundation for your goals. Embrace the power of leadership and authority.","The Emperor card signifies a period of authority and structure. You have been focusing on control and order, establishing a solid foundation for your goals.","The Emperor card suggests that authority and structure are guiding your present choices. Focus on control and order, and embrace the power of leadership and authority.","Looking ahead, The Emperor card suggests a future filled with authority and structure. Embrace control and order, and establish a solid foundation for your goals.",The Emperor card reveals underlying factors of authority and structure influencing your situation. Your focus on control and order is guiding your decisions and actions.,"You are focused on embracing authority and structure. Your decisions are influenced by a desire for control and order, and you are keenly aware of the power of leadership and authority.","Your actions and decisions are influenced by a deep-seated need for authority and structure. Even if you are not fully aware of it, your drive for control and order is significant.","By embracing authority and structure, you can achieve a balanced and fulfilling resolution to your situation. Focus on control and order, and establish a solid foundation for your goals."
9,004_emperor.jpg,inverted,The Emperor,"Domination, Rigidity, Inflexibility","The inverted Emperor card warns against domination and rigidity. This is a time to be cautious of those who may be overly controlling, and to ensure that you are not becoming too rigid or inflexible in your approach.","The inverted Emperor card indicates a past marked by domination and rigidity. These actions may still be impacting your present situation, urging you to reflect and learn from these experiences.",The inverted Emperor card suggests that domination and inflexibility are affecting your present choices. It’s important to be cautious and avoid becoming too rigid or controlling.,"Looking ahead, the inverted Emperor card warns that domination and rigidity may lead to negative consequences if not addressed. Flexibility and balance are essential for a positive outcome.",The inverted Emperor card indicates hidden feelings of domination and rigidity impacting your situation. Unresolved issues of control are affecting your ability to make wise decisions.,You are aware of feelings of domination and inflexibility. These challenges and the resulting confusion are weighing heavily on your mind.,"Unresolved feelings of control and rigidity are influencing your actions. These underlying issues are affecting your ability to make wise decisions, even if you are not fully aware of their impact.","If feelings of domination and rigidity are not addressed, continued inflexibility and control may be the outcome. Unresolved issues may persist, leading to further challenges. Open communication and a willingness to confront these feelings are essential for finding a resolution."
